id,uuid,observed_on,url,image_url
5067003,e98cc090-b646-4a17-98ca-091c6aa7eb0d,2017-02-04,https://www.inaturalist.org/observations/5067003,https://inaturalist-open-data.s3.amazonaws.com/photos/6216929/medium.jpg
5100150,21fc02d6-5918-4db9-83b2-5997273b4969,2017-02-12,https://www.inaturalist.org/observations/5100150,https://inaturalist-open-data.s3.amazonaws.com/photos/6268858/medium.jpeg
5101407,86d2e691-baea-4f06-8179-801f6635a965,2017-02-12,https://www.inaturalist.org/observations/5101407,https://inaturalist-open-data.s3.amazonaws.com/photos/6270781/medium.jpeg
5122056,7d8c109f-875e-4b65-af89-ec6ffbbc9b0d,2017-02-16,https://www.inaturalist.org/observations/5122056,https://inaturalist-open-data.s3.amazonaws.com/photos/6300856/medium.jpeg
5125339,1f008079-3496-4c41-8387-53fb1d32c258,2017-02-17,https://www.inaturalist.org/observations/5125339,https://static.inaturalist.org/photos/6305844/medium.jpg
5220510,0ab83dfd-4382-4a29-8959-6c468b11617a,2017-03-03,https://www.inaturalist.org/observations/5220510,https://inaturalist-open-data.s3.amazonaws.com/photos/6450013/medium.jpg
5226169,b7b8da44-bf57-4a64-9411-b5df026ddeca,2017-03-04,https://www.inaturalist.org/observations/5226169,https://inaturalist-open-data.s3.amazonaws.com/photos/6458953/medium.jpeg
5235630,cd753fd1-fa09-4aff-9bfc-adfbd2c1779c,2017-03-04,https://www.inaturalist.org/observations/5235630,https://inaturalist-open-data.s3.amazonaws.com/photos/6473784/medium.jpg
5283724,1954363d-d0d2-4732-abd8-cd0b91a40a33,2017-03-02,https://www.inaturalist.org/observations/5283724,https://inaturalist-open-data.s3.amazonaws.com/photos/6533475/medium.jpg
5285635,3977a15f-2c36-4d7a-bd8f-e725dfe1c60d,2017-03-11,https://www.inaturalist.org/observations/5285635,https://static.inaturalist.org/photos/6536605/medium.jpg
5398482,8f070338-08e8-4daa-ab8d-7c67468ac02e,2017-03-11,https://www.inaturalist.org/observations/5398482,https://inaturalist-open-data.s3.amazonaws.com/photos/6633456/medium.jpeg
